Library, Design Unit, compile Time, Peak Mem Usage
work, Entity: OSCH Architecture: syn_black_box, 0h:00m:00s,     82 MB
work, Entity: osc00 Architecture: osc0, 0h:00m:00s,     82 MB
work, Entity: div00 Architecture: div0, 0h:00m:00s,     82 MB
work, Entity: topdiv00 Architecture: topdiv0, 0h:00m:00s,     82 MB
work, Entity: barrel00 Architecture: barrel0, 0h:00m:00s,     82 MB
work, Entity: tobarrel00 Architecture: tobarrel0, 0h:00m:00s,     82 MB
